year,time,rank,song_title,artist,album
2010,1,30,Please Don`t Go,"CL, 민지 (2NE1)",Please Don`t Go
2010,1,31,기다리다 지친다,2PM,1집 1:59PM
2010,1,32,Music Box,Eminem,Relapse: Refill
2010,1,33,悲談 (비담) (슬픈 이야기),이요원,선덕여왕 Special OST Part 2
2010,1,34,로맨틱 겨울 (Feat. 김진호),김진표 (JP),Romantic 겨울
2010,1,35,만만하니,유키스 (U-Kiss),Conti UKiss
2010,1,36,You And I,박봄,You And I
2010,1,37,Ghost (고스트),"화요비, 고유진",Ghost
2010,1,38,사랑경보 (Feat. 주희),H-유진,사랑경보
2010,1,39,마쉬멜로우,아이유 (IU),IU...IM
2010,1,40,내 여자 (Feat. 슈프림팀),브라이언 (Brian),Manifold
2010,1,41,Slow Motion,Karina,First Love
2010,1,42,실화,린 (LYn),6½ New Celebration
2010,1,43,인형의 꿈,러브홀릭,좋은 사람 OST
2010,1,44,그 바람소리,문근영,러브트리 프로젝트
2010,1,45,Hey Daddy (Daddy`s Home) (Feat. Plies),Usher,Hey Daddy (Daddy`s Home) (Single)
2010,1,46,그립고 그립고 그립다,케이윌 (K.will),그립고 그립고 그립다
2010,1,47,Single Ladies (Put A Ring OnIt),Beyonce,Single Ladies (Put A Ring On It) (Single)
2010,1,48,I`m Yours,Jason Mraz,3집 We Sing. We Dance. We Steal Things. (Korea Tour Edition)
2010,1,49,못된 여자 Ⅱ (With 서인영),원투 (One Two),못된 여자 Ⅱ
2010,1,50,Boom Boom Pow,Black Eyed Peas,6집 The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Ver.)
2010,1,51,잘지내,정엽,잘지내
2010,1,52,하모니,"제아, 이영현",하모니 OST
2010,1,53,눈 내리는 마을,애프터스쿨 (After School),눈 내리는 마을
2010,1,54,Baby Baby,포맨 (4Men),First Kiss
2010,1,55,똑똑똑,포맨 (4Men),The 3rd Generation (Special Album)
2010,1,56,Sign,브라운 아이드 걸스,Sound-G Sign
2010,1,57,Open Arms,Boyz II Men,Love
2010,1,58,너에게 약속하는 7가지,"테이 (Tei), 간미연",人事 - 緣·愛·別 (인사 - 연·애·별)
2010,1,59,365일,알리 (ALi),After The Love Has Gone
2010,1,60,Who`d Have Known,Lily Allen,"It`s Not Me, It`s You (Special Edition)"
2010,1,61,염장송,"임종철, 한민규, 정민경",임마누 디지털 싱글
2010,1,62,You Are My Girl,김조한,지붕뚫고 하이킥 OST Part 1
2010,1,63,죽일 놈 (Guilty),다이나믹 듀오 (Dynamic Duo),5집 Band Of Dynamic Brothers
2010,1,64,Take A Bow,Rihanna,Take A Bow (Maxi Single)
2010,1,65,Empire State Of Mind (Feat. Alicia Keys),Jay-Z,The Hits Collection Vol.1 (Deluxe Edition)
2010,1,66,Stupid In Love,Rihanna,4집 Rated R
2010,1,67,Never Knew I Needed,Ne-Yo,The Princess And The Frog OST (공주와 개구리)
2010,1,68,우리 지금 만나 (Feat. 장기하와 얼굴들),리쌍,Hexagonal
2010,1,69,What You Do (Feat. Ne-Yo),Chrisette Michele,One 2010
2010,1,70,그 놈 목소리,씨야 (SeeYa),Rebloom
2010,1,71,Nothing Better,브라운 아이드 소울 (Brown Eyed Soul),Brown Eyed Soul Christmas Concert Live 2007 (Live)
2010,1,72,"사랑눈 (Feat. 드로플렛, 슬라임)",김태우,사랑눈
2010,1,73,"미안해, 사랑해서...",이영현,Take It
2010,1,74,그 날 이후부터,지아 (Zia),Atelier
2010,1,75,여자는 나쁜남자를 좋아한다,디셈버 (December),A Story To The Sky
2010,1,76,I`m In Love (Piano Remix),라디 (Ra. D),RealCollabo + RMX (Remix)
2010,1,77,Chu~♡,f(x),'Chu~♡' The 1st Single
2010,1,78,Lucky (Feat. Colbie Caillat),Jason Mraz,3집 We Sing. We Dance. We Steal Things. (Korea Tour Edition)
2010,1,79,예뻐할께 (Feat. MC한길),타루 (Taru),Color Of City (White)
2010,1,80,Apple Is A,티아라 (T-ara),Absolute First Album
2010,1,81,Second First Date (Feat. Ritha K) (Produced By Ema The Kid),디제이 아키 (DJ Aki),Staytune (스테이튠)
2010,1,82,Chocolate Legs,Eric Benet,4집 Love & Life
2010,1,83,내가 야! 하면 넌 예!,"김태우, 린 (LYn)",T-Virus
2010,1,84,다시 사랑 할 수 있을까 (Feat. 다비치),포맨 (4Men),Voice Of Autumn
2010,1,85,Ring Ding Dong,샤이니 (SHINee),"2009, Year Of Us"
2010,1,86,Baby By Me (Feat. Ne-Yo),50 Cent,Before I Self Destruct
2010,1,87,Everything (Feat. 길미),은지원,Platonic
2010,1,88,두근두근,HAM,"Girls, Falling In Love"
2010,1,89,어떻게 눈물 참는지,이정현,아이리스 OST Part 8
2010,1,90,잠도 못자요,신지 (코요태),그대웃어요 OST (Original)
2010,1,91,Falling Slowly,Glen Hansard,Once OST (Deluxe Edition)
2010,1,92,나는... (Feat. IVY),MC몽,Humanimal (Repackage)
2010,1,93,"떠나는 사람, 남겨진 사람",어반 자카파 (Urban Zakapa),Sweety You
2010,1,94,My Color,2PM,My Color
2010,1,95,사랑했는데 (Feat. Nonoo),러브 스토리,러브스토리 (Love Story)
2010,1,96,Shots (Feat. Lil Jon),LMFAO,1집 Party Rock
2010,1,97,Good Bye,엠투엠 (M To M),Good Bye
2010,1,98,So Sick,Ne-Yo,So Sick
2010,1,99,사랑 둘이서..,Ab 에비뉴,Love For 2
2010,1,100,Couple Song (Feat. Kelley),라디 (Ra. D),2집 Realcollabo
2010,2,1,우리 사랑하게 됐어요.,"가인, 조권",우리 사랑하게 됐어요
2010,2,2,Change (Feat. 용준형),현아 (HyunA),Change
2010,2,3,그대라서,거미,크리스마스에 눈이 올까요? OST
2010,2,4,처음처럼 그때처럼 (Feat. 강민경),이승기,Shadow (Repackage)
2010,2,5,넌 나를 왜 (Feat. 정엽),길미,The 2nd Purple Dream Sound
2010,2,6,술 한잔 해요,지아 (Zia),Atelier
2010,2,7,Bo Peep Bo Peep,티아라 (T-ara),Absolute First Album
2010,2,8,사랑해,김우주,사랑해
2010,2,9,사랑하면 안 되니,김남길,사랑하면 안 되니
2010,2,10,Baby Baby,포맨 (4Men),First Kiss
2010,2,11,Love Story,쥬얼리 (Jewelry),End And.. (Repackage)
2010,2,12,오늘 헤어졌어요,윤하,3rd Album Part B - Growing Season
2010,2,13,Tik Tok,Ke$ha,Animal + Cannibal (Deluxe Edition)
2010,2,14,사랑 둘이서..,Ab 에비뉴,Love For 2
2010,2,15,기다리다 지친다,2PM,1집 1:59PM
2010,2,16,처음처럼,티아라 (T-ara),Absolute First Album
2010,2,17,160 (Feat. 이수근),은지원,Platonic
2010,2,18,너 때문에,애프터스쿨 (After School),너 때문에
2010,2,19,로맨틱 겨울 (Feat. 김진호),김진표 (JP),Romantic 겨울
2010,2,20,"내 맘을 아냐고 (Feat. 김현중, 미스에스, U주)",MJ,슬픈노래..
2010,2,21,Telephone (Feat. Beyonce),Lady GaGa,The Fame Monster
2010,2,22,Mystery,비스트 (Beast),Beast Is The B2ST
2010,2,23,낙인,임재범,추노 OST
2010,2,24,돌아올순 없나요,디셈버 (December),아이리스 OST Part 5
2010,2,25,싸이렌 (Siren) (Feat. 미스터 타이푼),은지원,Platonic
2010,2,26,원더우먼,"씨야 (SeeYa), 다비치, 티아라",원더우먼
2010,2,27,Another Boy,디아 (DIA),0.5caret
2010,2,28,Honesty,Beyonce,I Am... Sasha Fierce (Platinum Edition)
2010,2,29,Heartbeat,2PM,1집 1:59PM
2010,2,30,3,Britney Spears,The Singles Collection
2010,2,31,그녀처럼,지아 (Zia),Atelier
2010,2,32,사랑합니다,"SG 워너비, V.O.S",사랑합니다
2010,2,33,꿈을 꾸다 (Main Ver.),김태우,아이리스 OST
2010,2,34,사랑 참...,디셈버 (December),Dear My Lover
2010,2,35,듣죠... 그대를,규현 (KYUHYUN),파스타 OST Part 1
2010,2,36,또르르,지연 (티아라),공부의 신 OST
2010,2,37,사랑하면 안되나요,서인영,아이리스 OST Part 6
2010,2,38,No Love No More,박진영,Sad Freedom
2010,2,39,Dreams Come True,포미닛 (4Minute),공부의 신 OST
2010,2,40,잊지 말아요,백지영,아이리스 OST
2010,2,41,마법의 성,MC 스나이퍼,Museum
2010,2,42,Ghost (고스트),"화요비, 고유진",Ghost
2010,2,43,365일,알리 (ALi),After The Love Has Gone
2010,2,44,하모니,"제아, 이영현",하모니 OST
2010,2,45,You Are My Girl,김조한,지붕뚫고 하이킥 OST Part 1
2010,2,46,사랑경보 (Feat. 주희),H-유진,사랑경보
2010,2,47,Slow Motion,Karina,First Love
2010,2,48,I`m Yours,Jason Mraz,3집 We Sing. We Dance. We Steal Things. (Korea Tour Edition)
2010,2,49,JoJo,샤이니 (SHINee),"2009, Year Of Us"
2010,2,50,잘지내,정엽,잘지내
2010,2,51,만만하니,유키스 (U-Kiss),Conti UKiss
2010,2,52,똑똑똑,포맨 (4Men),The 3rd Generation (Special Album)
2010,2,53,우리 지금 만나 (Feat. 장기하와 얼굴들),리쌍,Hexagonal
2010,2,54,내 여자 (Feat. 슈프림팀),브라이언 (Brian),Manifold
2010,2,55,You And I,박봄,You And I
2010,2,56,Please Don`t Go,"CL, 민지 (2NE1)",Please Don`t Go
2010,2,57,실화,린 (LYn),6½ New Celebration
2010,2,58,염장송,"임종철, 한민규, 정민경",임마누 디지털 싱글
2010,2,59,I`m In Love (Piano Remix),라디 (Ra. D),RealCollabo + RMX (Remix)
2010,2,60,한번쯤은,티맥스 (T-MAX),공부의 신 OST Part 1
2010,2,61,Music Box,Eminem,Relapse: Refill
2010,2,62,Who`d Have Known,Lily Allen,"It`s Not Me, It`s You (Special Edition)"
2010,2,63,인형의 꿈,러브홀릭,좋은 사람 OST
2010,2,64,너에게 약속하는 7가지,"테이 (Tei), 간미연",人事 - 緣·愛·別 (인사 - 연·애·별)
2010,2,65,마취,화요비,수상한 삼형제 OST
2010,2,66,마쉬멜로우,아이유 (IU),IU...IM
2010,2,67,죽일 놈 (Guilty),다이나믹 듀오 (Dynamic Duo),5집 Band Of Dynamic Brothers
2010,2,68,Second First Date (Feat. Ritha K) (Produced By Ema The Kid),디제이 아키 (DJ Aki),Staytune (스테이튠)
2010,2,69,Nothing Better,브라운 아이드 소울 (Brown Eyed Soul),Brown Eyed Soul Christmas Concert Live 2007 (Live)
2010,2,70,Empire State Of Mind (Feat. Alicia Keys),Jay-Z,The Hits Collection Vol.1 (Deluxe Edition)
2010,2,71,다시 사랑 할 수 있을까 (Feat. 다비치),포맨 (4Men),Voice Of Autumn
2010,2,72,Open Arms,Boyz II Men,Love
2010,2,73,못된 여자 Ⅱ (With 서인영),원투 (One Two),못된 여자 Ⅱ
2010,2,74,그립고 그립고 그립다,케이윌 (K.will),그립고 그립고 그립다
2010,2,75,Single Ladies (Put A Ring OnIt),Beyonce,Single Ladies (Put A Ring On It) (Single)
2010,2,76,"떠나는 사람, 남겨진 사람",어반 자카파 (Urban Zakapa),Sweety You
2010,2,77,Apple Is A,티아라 (T-ara),Absolute First Album
2010,2,78,그 날 이후부터,지아 (Zia),Atelier
2010,2,79,여자는 나쁜남자를 좋아한다,디셈버 (December),A Story To The Sky
2010,2,80,Shots (Feat. Lil Jon),LMFAO,1집 Party Rock
2010,2,81,悲談 (비담) (슬픈 이야기),이요원,선덕여왕 Special OST Part 2
2010,2,82,Lucky (Feat. Colbie Caillat),Jason Mraz,3집 We Sing. We Dance. We Steal Things. (Korea Tour Edition)
2010,2,83,Especially For You,M.Y.M.P,Acoustic Proposal
2010,2,84,Say You Love Me,M.Y.M.P,Acoustic Proposal
2010,2,85,Everything (Feat. 길미),은지원,Platonic
2010,2,86,이름만 들어도,길미,The 2nd Purple Dream Sound
2010,2,87,Chocolate Legs,Eric Benet,4집 Love & Life
2010,2,88,"미안해, 사랑해서...",이영현,Take It
2010,2,89,Falling Slowly,Glen Hansard,Once OST (Deluxe Edition)
2010,2,90,Couple Song (Feat. Kelley),라디 (Ra. D),2집 Realcollabo
2010,2,91,나만 모르게 (Feat. T),슈프림팀 (Supreme Team),Supreme Team Guide To Excellent Adventure
2010,2,92,예뻐할께 (Feat. MC한길),타루 (Taru),Color Of City (White)
2010,2,93,어젠,"송지은, 환희",어젠
2010,2,94,내가 야! 하면 넌 예!,"김태우, 린 (LYn)",T-Virus
2010,2,95,사랑아,몽실이 시스터즈,사랑아... (드리밍 프로젝트 Vol.1)
2010,2,96,기차를 타고,아이유 (IU),IU...IM
2010,2,97,최면 (Feat. 아웃사이더),케이윌 (K.Will),그립고 그립고 그립다
2010,2,98,My Soul,줄라이 (July),Time...
2010,2,99,Hey Daddy (Daddy`s Home) (Feat. Plies),Usher,Hey Daddy (Daddy`s Home) (Single)
2010,2,100,Stupid In Love,Rihanna,4집 Rated R
2010,3,1,우리 사랑하게 됐어요.,"가인, 조권",우리 사랑하게 됐어요
2010,3,2,Change (Feat. 용준형),현아 (HyunA),Change
2010,3,3,첫사랑이죠,"아이유 (IU), 나윤권",첫사랑이죠
2010,3,4,넌 나를 왜 (Feat. 정엽),길미,The 2nd Purple Dream Sound
2010,3,5,외톨이야,씨엔블루 (CNBLUE),Bluetory
2010,3,6,원더우먼,"씨야 (SeeYa), 다비치, 티아라",원더우먼
2010,3,7,낙인,임재범,추노 OST
2010,3,8,처음처럼 그때처럼 (Feat. 강민경),이승기,Shadow (Repackage)
2010,3,9,그대라서,거미,크리스마스에 눈이 올까요? OST
2010,3,10,사랑하면 안 되니,김남길,사랑하면 안 되니
2010,3,11,사랑해,김우주,사랑해
2010,3,12,Love Story,쥬얼리 (Jewelry),End And.. (Repackage)
2010,3,13,사랑 둘이서..,Ab 에비뉴,Love For 2
2010,3,14,처음처럼,티아라 (T-ara),Absolute First Album
2010,3,15,또르르,지연 (티아라),공부의 신 OST
2010,3,16,오늘 헤어졌어요,윤하,3rd Album Part B - Growing Season
2010,3,17,술 한잔 해요,지아 (Zia),Atelier
2010,3,18,Bo Peep Bo Peep,티아라 (T-ara),Absolute First Album
2010,3,19,로맨틱 겨울 (Feat. 김진호),김진표 (JP),Romantic 겨울
2010,3,20,Dreams Come True,포미닛 (4Minute),공부의 신 OST
2010,3,21,Tik Tok,2PM,Tik Tok
2010,3,22,Baby Baby,포맨 (4Men),First Kiss
2010,3,23,Mystery,비스트 (Beast),Beast Is The B2ST
2010,3,24,River Flows In You,이루마 (Yiruma),First Love
2010,3,25,잘해 주지 마요,김종국,Eleventh Story
2010,3,26,160 (Feat. 이수근),은지원,Platonic
2010,3,27,"내 맘을 아냐고 (Feat. 김현중, 미스에스, U주)",MJ,슬픈노래..
2010,3,28,너 때문에,애프터스쿨 (After School),너 때문에
2010,3,29,사랑이 그렇습니다,가비앤제이 (Gavy NJ),해바라기
2010,3,30,Telephone (Feat. Beyonce),Lady GaGa,The Fame Monster
2010,3,31,기다리다 지친다,2PM,1집 1:59PM
2010,3,32,하모니,"제아, 이영현",하모니 OST
2010,3,33,한번쯤은,티맥스 (T-MAX),공부의 신 OST Part 1
2010,3,34,Honesty,Beyonce,I Am... Sasha Fierce (Platinum Edition)
2010,3,35,우리 결혼할까?,"리사 (Lisa), 미료 (브라운 아이드 걸스)",우리 결혼할까?
2010,3,36,JoJo,샤이니 (SHINee),"2009, Year Of Us"
2010,3,37,Ghost (고스트),"화요비, 고유진",Ghost
2010,3,38,그녀처럼,지아 (Zia),Atelier
2010,3,39,싸이렌 (Siren) (Feat. 미스터 타이푼),은지원,Platonic
2010,3,40,3,Britney Spears,The Singles Collection
2010,3,41,남잔 다 그래,럼블피쉬,남잔 다 그래
2010,3,42,돌아올순 없나요,디셈버 (December),아이리스 OST Part 5
2010,3,43,사랑합니다,"SG 워너비, V.O.S",사랑합니다
2010,3,44,듣죠... 그대를,규현 (KYUHYUN),파스타 OST Part 1
2010,3,45,"떠나는 사람, 남겨진 사람",어반 자카파 (Urban Zakapa),Sweety You
2010,3,46,Heartbeat,2PM,1집 1:59PM
2010,3,47,Slow Motion,Karina,First Love
2010,3,48,365일,알리 (ALi),After The Love Has Gone
2010,3,49,You Are My Girl,김조한,지붕뚫고 하이킥 OST Part 1
2010,3,50,No Love No More,박진영,Sad Freedom
2010,3,51,사랑하면 안되나요,서인영,아이리스 OST Part 6
2010,3,52,잘지내,정엽,잘지내
2010,3,53,하루가 (New Ver.),KCM,하루가
2010,3,54,별을 따다줘,카라 (KARA),별을 따다줘 OST Part 2
2010,3,55,I`m Yours,Jason Mraz,3집 We Sing. We Dance. We Steal Things. (Korea Tour Edition)
2010,3,56,잠도 못자요,신지 (코요태),그대웃어요 OST (Original)
2010,3,57,만만하니,유키스 (U-Kiss),Conti UKiss
2010,3,58,잊지 말아요,백지영,아이리스 OST
2010,3,59,사랑 참...,디셈버 (December),Dear My Lover
2010,3,60,마법의 성,MC 스나이퍼,Museum
2010,3,61,사랑경보 (Feat. 주희),H-유진,사랑경보
2010,3,62,꿈을 꾸다 (Main Ver.),김태우,아이리스 OST
2010,3,63,Tik Tok,Ke$ha,Animal + Cannibal (Deluxe Edition)
2010,3,64,I`m In Love (Piano Remix),라디 (Ra. D),RealCollabo + RMX (Remix)
2010,3,65,Because I`m Weary,어니스트,공부의 신 OST Part1
2010,3,66,우리 지금 만나 (Feat. 장기하와 얼굴들),리쌍,Hexagonal
2010,3,67,눈물아 제발 멈춰줘 (Feat. 제드),이지혜,눈물아 제발 멈춰줘
2010,3,68,Blah Blah Blah (Feat. 3OH!3),Ke$ha,Animal
2010,3,69,Second First Date (Feat. Ritha K) (Produced By Ema The Kid),디제이 아키 (DJ Aki),Staytune (스테이튠)
2010,3,70,You And I,박봄,You And I
2010,3,71,Apple Is A,티아라 (T-ara),Absolute First Album
2010,3,72,죽일 놈 (Guilty),다이나믹 듀오 (Dynamic Duo),5집 Band Of Dynamic Brothers
2010,3,73,Empire State Of Mind (Feat. Alicia Keys),Jay-Z,The Hits Collection Vol.1 (Deluxe Edition)
2010,3,74,마취,화요비,수상한 삼형제 OST
2010,3,75,Another Boy,디아 (DIA),0.5caret
2010,3,76,다시 사랑 할 수 있을까 (Feat. 다비치),포맨 (4Men),Voice Of Autumn
2010,3,77,Please Don`t Go,"CL, 민지 (2NE1)",Please Don`t Go
2010,3,78,염장송,"임종철, 한민규, 정민경",임마누 디지털 싱글
2010,3,79,So Cold,Chris Brown,Graffiti (Standard Ver.)
2010,3,80,실화,린 (LYn),6½ New Celebration
2010,3,81,똑똑똑,포맨 (4Men),The 3rd Generation (Special Album)
2010,3,82,너에게 약속하는 7가지,"테이 (Tei), 간미연",人事 - 緣·愛·別 (인사 - 연·애·별)
2010,3,83,Nothing Better,브라운 아이드 소울 (Brown Eyed Soul),Brown Eyed Soul Christmas Concert Live 2007 (Live)
2010,3,84,달에 지다,베이지,추노 OST
2010,3,85,Shots (Feat. Lil Jon),LMFAO,1집 Party Rock
2010,3,86,Lucky (Feat. Colbie Caillat),Jason Mraz,3집 We Sing. We Dance. We Steal Things. (Korea Tour Edition)
2010,3,87,Say You Love Me,M.Y.M.P,Acoustic Proposal
2010,3,88,Everything (Feat. 길미),은지원,Platonic
2010,3,89,내가 야! 하면 넌 예!,"김태우, 린 (LYn)",T-Virus
2010,3,90,Who`d Have Known,Lily Allen,"It`s Not Me, It`s You (Special Edition)"
2010,3,91,너의 마음속엔 강이 흐른다 (River Flows In You) (Vocal Ruvin),이루마 (Yiruma),Movement On A Theme By Yiruma
2010,3,92,여자는 나쁜남자를 좋아한다,디셈버 (December),A Story To The Sky
2010,3,93,이름만 들어도,길미,The 2nd Purple Dream Sound
2010,3,94,그 날 이후부터,지아 (Zia),Atelier
2010,3,95,나만 모르게 (Feat. T),슈프림팀 (Supreme Team),Supreme Team Guide To Excellent Adventure
2010,3,96,Music Box,Eminem,Relapse: Refill
2010,3,97,Falling Slowly,Glen Hansard,Once OST (Deluxe Edition)
2010,3,98,Couple Song (Feat. Kelley),라디 (Ra. D),2집 Realcollabo
2010,3,99,여친 토막 살인,팻두 (Fatdoo),신이 적은 운명의 일기장
2010,3,100,커피를 마시고 (Main Ver.),어반 자카파 (Urban Zakapa),커피를 마시고
2010,4,1,죽어도 못 보내,2am,죽어도 못 보내
2010,4,2,외톨이야,씨엔블루 (CNBLUE),Bluetory
2010,4,3,못해 (Feat. 美),포맨 (4MEN),The 3rd Generation (Special Album)
2010,4,4,우리 사랑하게 됐어요.,"가인, 조권",우리 사랑하게 됐어요
2010,4,5,웃어 줄 수 없어서 미안하다,2am,죽어도 못 보내
2010,4,6,Change (Feat. 용준형),현아 (HyunA),Change
2010,4,7,원더우먼,"씨야 (SeeYa), 다비치, 티아라",원더우먼
2010,4,8,또르르,지연 (티아라),공부의 신 OST
2010,4,9,첫사랑이죠,"아이유 (IU), 나윤권",첫사랑이죠
2010,4,10,사랑이 술을 가르쳐 (Feat. 백찬),이승기,Shadow (Repackage)
2010,4,11,우리 결혼할까?,"리사 (Lisa), 미료 (브라운 아이드 걸스)",우리 결혼할까?
2010,4,12,잘해 주지 마요,김종국,Eleventh Story
2010,4,13,처음처럼,티아라 (T-ara),Absolute First Album
2010,4,14,낙인,임재범,추노 OST
2010,4,15,Slow Motion,Karina,First Love
2010,4,16,귀여운 넌,애프터스쿨 (After School),파스타 OST Part 2
2010,4,17,"I Love You (Feat. 백찬, 주희)",2am,죽어도 못 보내
2010,4,18,Baby You (Feat. 나비),포맨 (4Men),The 3rd Generation (Special Album)
2010,4,19,넌 나를 왜 (Feat. 정엽),길미,The 2nd Purple Dream Sound
2010,4,20,그녀에게 (Feat. 찬성),2am,죽어도 못 보내
2010,4,21,처음처럼 그때처럼 (Feat. 강민경),이승기,Shadow (Repackage)
2010,4,22,그대라서,거미,크리스마스에 눈이 올까요? OST
2010,4,23,Dreams Come True,포미닛 (4Minute),공부의 신 OST
2010,4,24,Bo Peep Bo Peep,티아라 (T-ara),Absolute First Album
2010,4,25,하모니,"제아, 이영현",하모니 OST
2010,4,26,술 한잔 해요,지아 (Zia),Atelier
2010,4,27,사랑 둘이서..,Ab 에비뉴,Love For 2
2010,4,28,해바라기 (Feat. 써니사이드 MJ),가비엔제이 (Gavy NJ),해바라기
2010,4,29,오늘 헤어졌어요,윤하,3rd Album Part B - Growing Season
2010,4,30,Love Story,쥬얼리 (Jewelry),End And.. (Repackage)
2010,4,31,Baby Baby,포맨 (4Men),First Kiss
2010,4,32,사랑해,김우주,사랑해
2010,4,33,160 (Feat. 이수근),은지원,Platonic
2010,4,34,Tik Tok,2PM,Tik Tok
2010,4,35,남잔 다 그래,럼블피쉬,남잔 다 그래
2010,4,36,Mystery,비스트 (Beast),Beast Is The B2ST
2010,4,37,Honesty,Beyonce,I Am... Sasha Fierce (Platinum Edition)
2010,4,38,로맨틱 겨울 (Feat. 김진호),김진표 (JP),Romantic 겨울
2010,4,39,사랑이 그렇습니다,가비앤제이 (Gavy NJ),해바라기
2010,4,40,사랑하면 안 되니,김남길,사랑하면 안 되니
2010,4,41,너 때문에,애프터스쿨 (After School),너 때문에
2010,4,42,한번쯤은,티맥스 (T-MAX),공부의 신 OST Part 1
2010,4,43,River Flows In You,이루마 (Yiruma),First Love
2010,4,44,"내 맘을 아냐고 (Feat. 김현중, 미스에스, U주)",MJ,슬픈노래..
2010,4,45,기다리다 지친다,2PM,1집 1:59PM
2010,4,46,Telephone (Feat. Beyonce),Lady GaGa,The Fame Monster
2010,4,47,JoJo,샤이니 (SHINee),"2009, Year Of Us"
2010,4,48,"Y, Why...",씨엔블루 (CNBLUE),Bluetory
2010,4,49,"떠나는 사람, 남겨진 사람",어반 자카파 (Urban Zakapa),Sweety You
2010,4,50,하루가 (New Ver.),KCM,하루가
2010,4,51,새로고침 (Feat. 서인국),린 (LYn),Director`s Cut
2010,4,52,3,Britney Spears,The Singles Collection
2010,4,53,Ghost (고스트),"화요비, 고유진",Ghost
2010,4,54,돌아올순 없나요,디셈버 (December),아이리스 OST Part 5
2010,4,55,365일,알리 (ALi),After The Love Has Gone
2010,4,56,Heartbeat,2PM,1집 1:59PM
2010,4,57,1년 365일,루시 (Lucy),1년 365일
2010,4,58,I`m Yours,Jason Mraz,3집 We Sing. We Dance. We Steal Things. (Korea Tour Edition)
2010,4,59,Blah Blah Blah (Feat. 3OH!3),Ke$ha,Animal
2010,4,60,가지 말라고,엘클래스,가지 말라고
2010,4,61,그녀처럼,지아 (Zia),Atelier
2010,4,62,달에 지다,베이지,추노 OST
2010,4,63,추억에 살아 (Feat. 이영현),포맨 (4Men),The 3rd Generation (Special Album)
2010,4,64,사랑합니다,"SG 워너비, V.O.S",사랑합니다
2010,4,65,만만하니,유키스 (U-Kiss),Conti UKiss
2010,4,66,눈물아 제발 멈춰줘 (Feat. 제드),이지혜,눈물아 제발 멈춰줘
2010,4,67,멍청이,나윤권,Next My Life In Soul 2.7
2010,4,68,Second First Date (Feat. Ritha K) (Produced By Ema The Kid),디제이 아키 (DJ Aki),Staytune (스테이튠)
2010,4,69,Empire State Of Mind (Feat. Alicia Keys),Jay-Z,The Hits Collection Vol.1 (Deluxe Edition)
2010,4,70,Tik Tok,Ke$ha,Animal + Cannibal (Deluxe Edition)
2010,4,71,듣죠... 그대를,규현 (KYUHYUN),파스타 OST Part 1
2010,4,72,별을 따다줘,카라 (KARA),별을 따다줘 OST Part 2
2010,4,73,You Are My Girl,김조한,지붕뚫고 하이킥 OST Part 1
2010,4,74,다시 사랑 할 수 있을까 (Feat. 다비치),포맨 (4Men),Voice Of Autumn
2010,4,75,죽일 놈 (Guilty),다이나믹 듀오 (Dynamic Duo),5집 Band Of Dynamic Brothers
2010,4,76,I`m In Love (Piano Remix),라디 (Ra. D),RealCollabo + RMX (Remix)
2010,4,77,Apple Is A,티아라 (T-ara),Absolute First Album
